tool	avg_precision	std_dev_precision	sem_precision	avg_recall	std_dev_recall	sem_recall	avg_precision_per_bp	avg_recall_per_bp	rand_index_by_bp	rand_index_by_seq	a_rand_index_by_bp	a_rand_index_by_seq	percent_assigned_bps	accuracy	>0.5compl<0.1cont	>0.7compl<0.1cont	>0.9compl<0.1cont	>0.5compl<0.05cont	>0.7compl<0.05cont	>0.9compl<0.05cont
MaxBin2	0.980	0.040	0.003	0.395	0.473	0.019	0.981	0.381	1.000	0.997	0.976	0.893	0.384	0.376	233	231	209	217	215	194
CONCOCT	0.983	0.035	0.006	0.052	0.218	0.009	0.984	0.045	0.999	0.986	0.983	0.941	0.045	0.045	30	30	28	30	30	28
MetaBAT2	0.981	0.044	0.002	0.622	0.460	0.019	0.980	0.598	1.000	0.998	0.969	0.864	0.605	0.594	367	364	315	341	338	296
Binning_refiner	0.999	0.007	0.000	0.396	0.463	0.019	0.999	0.377	1.000	1.000	0.998	0.998	0.377	0.377	252	243	200	252	243	200
DAS_Tool	0.984	0.032	0.002	0.656	0.450	0.018	0.983	0.637	1.000	0.998	0.973	0.891	0.644	0.633	397	397	353	366	366	328
metaWRAP	0.992	0.025	0.001	0.674	0.438	0.018	0.991	0.653	1.000	0.999	0.985	0.950	0.657	0.651	414	412	358	401	399	352
