tool	avg_precision	std_dev_precision	sem_precision	avg_recall	std_dev_recall	sem_recall	avg_precision_per_bp	avg_recall_per_bp	rand_index_by_bp	rand_index_by_seq	a_rand_index_by_bp	a_rand_index_by_seq	percent_assigned_bps	accuracy	>0.5compl<0.1cont	>0.7compl<0.1cont	>0.9compl<0.1cont	>0.5compl<0.05cont	>0.7compl<0.05cont	>0.9compl<0.05cont
MaxBin2	0.993	0.006	0.004	0.110	0.310	0.073	0.971	0.481	0.996	0.923	0.967	0.694	0.490	0.475	2	2	2	2	2	2
CONCOCT	0.000	0.000	0.000	0.000	0.000	0.000	0.994	0.402	0.999	0.986	0.990	0.957	0.404	0.402	0	0	0	0	0	0
MetaBAT2	1.000	0.000	0.000	0.055	0.228	0.054	0.997	0.494	0.999	0.982	0.995	0.952	0.495	0.493	1	1	1	1	1	1
Bin_refiner	0.958	0.073	0.037	0.209	0.391	0.092	0.994	0.538	1.000	0.996	0.997	0.989	0.538	0.535	3	3	3	3	3	3
metaWRAP	0.966	0.068	0.030	0.253	0.409	0.096	0.992	0.612	0.999	0.989	0.990	0.962	0.616	0.612	4	4	3	4	4	3
