tool	avg_precision	std_dev_precision	sem_precision	avg_recall	std_dev_recall	sem_recall	avg_precision_per_bp	avg_recall_per_bp	rand_index_by_bp	rand_index_by_seq	a_rand_index_by_bp	a_rand_index_by_seq	percent_assigned_bps	accuracy	>0.5compl<0.1cont	>0.7compl<0.1cont	>0.9compl<0.1cont	>0.5compl<0.05cont	>0.7compl<0.05cont	>0.9compl<0.05cont
MaxBin2	0.964	0.048	0.011	0.453	0.482	0.076	0.971	0.481	0.996	0.923	0.967	0.694	0.490	0.475	16	15	14	14	13	13
CONCOCT	0.992	0.016	0.004	0.360	0.467	0.074	0.994	0.402	0.999	0.986	0.990	0.957	0.404	0.402	15	15	13	14	14	12
MetaBAT2	0.997	0.007	0.002	0.441	0.470	0.074	0.997	0.494	0.999	0.982	0.995	0.952	0.495	0.493	19	18	14	19	18	14
Binning_refiner	0.991	0.035	0.008	0.517	0.470	0.074	0.994	0.538	1.000	0.996	0.997	0.989	0.538	0.535	21	21	16	21	21	16
metaWRAP	0.989	0.034	0.007	0.597	0.466	0.074	0.992	0.612	0.999	0.989	0.990	0.962	0.616	0.612	24	24	21	24	24	21
DAS_Tool	0.989	0.020	0.004	0.510	0.487	0.077	0.990	0.517	0.999	0.984	0.990	0.950	0.518	0.513	21	21	19	19	19	17
