genome	precision	recall	predicted_size	correctly_predicted	real_size
1285_CC	1.0	0.9380322824856403	2701139	2701139	2879580
1010920	1.0	0.9380056270426504	4249415	4249415	4530266
1286_CL	1.0	0.9379226074232031	2758678	2758678	2941264
1285_K	1.0	0.9364538376755268	5221867	5221867	5576214
1030875	1.0	0.9364331252162167	3410658	3410658	3642180
1285_BW	1.0	0.9361184782869236	5311364	5311364	5673816
1286_AJ	1.0	0.9341302041128074	3069805	3069805	3286271
1035936	1.0	0.9340040945973467	2352690	2352690	2518929
1030731	1.0	0.9326476427017726	2856876	2856876	3063189
1220_V	1.0	0.9325135543860777	5884458	5884458	6310319
1048657	1.0	0.9317557086308041	3564902	3564902	3826005
1139_BV	1.0	0.9272642240740828	3543097	3543097	3821022
1036671	1.0	0.9270881969226334	2470093	2470093	2664356
1036578	1.0	0.9270832191227605	2536661	2536661	2736174
1048780	1.0	0.9270299155417588	7634820	7634820	8235786
1030767	1.0	0.9254731133570447	1314033	1314033	1419850
1287_AA	1.0	0.9253898633442541	5983259	5983259	6465663
1365_D	1.0	0.9236731263722632	2576298	2576298	2789188
1030710	1.0	0.9230133080882273	4241200	4241200	4594950
1286_BG	1.0	0.9214801267629484	4761403	4761403	5167125
1035945	1.0	0.9211693887696537	2610840	2610840	2834267
1036593	0.999468800566343	0.9200029417014811	3955200	3953099	4296833
1030956	1.0	0.9197792083935101	3862553	3862553	4199435
1030707	1.0	0.9197245447849605	3661199	3661199	3980756
1036752	1.0	0.91919196110964	3543997	3543997	3855557
1036779	0.8971566710980344	0.9185193478192901	5468590	4906182	5341403
1030734	0.9975826243331546	0.9166988230370624	4619886	4608718	5027516
1048576	1.0	0.9165297863292781	2668295	2668295	2911302
1287_B	1.0	0.9161486608532343	6228444	6228444	6798508
1036773	1.0	0.9151464602610826	2725502	2725502	2978214
1139_AK	1.0	0.9132259028068932	4060122	4060122	4445912
1030860	1.0	0.9131683222194668	4396637	4396637	4814706
1048951	1.0	0.9105622499075462	3971542	3971542	4361637
1036560	1.0	0.910436634795125	2507317	2507317	2753972
1036572	1.0	0.9088979112756861	2611131	2611131	2872854
1036659	1.0	0.906056077871658	5028382	5028382	5549747
1048957	1.0	0.9058380899459638	3762413	3762413	4153516
1139_BI	1.0	0.9055474158108834	4350497	4350497	4804273
1036698	1.0	0.9053703474672732	3096554	3096554	3420207
1048903	1.0	0.9051700162491494	4859207	4859207	5368281
1285_BJ	1.0	0.9045250188333757	3557657	3557657	3933177
1048948	1.0	0.9040174044411332	3494642	3494642	3865680
1285_Z	1.0	0.8983096466627838	3501081	3501081	3897410
1048954	1.0	0.8977028584492043	4075992	4075992	4540469
1048786	1.0	0.8976255965286772	4491486	4491486	5003741
1286_CK	1.0	0.8936157688145873	4569355	4569355	5113333
1036650	0.9981700299610979	0.8932867184884888	4451439	4443293	4974095
1030785	1.0	0.8929266029665107	2572426	2572426	2880893
1030890	0.9988267850508804	0.8924316369440739	2998598	2995080	3356089
1049002	1.0	0.8869941096687949	4363344	4363344	4919248
1286_CO	1.0	0.8839433735986479	3947730	3947730	4466044
1285_M	1.0	0.8836294712245039	4595270	4595270	5200449
1030815	1.0	0.87857307989311	3127649	3127649	3559919
1036617	1.0	0.8762271686731137	2530856	2530856	2888356
1220_AA	1.0	0.8761377198431745	4758530	4758530	5431258
1139_BY	1.0	0.8748542683971817	5799080	5799080	6628624
1030911	0.9990399809598131	0.8726320876208162	1747882	1746204	2001077
1285_G	1.0	0.8709328320661607	4197709	4197709	4819785
1030788	1.0	0.8682854807771178	2635836	2635836	3035679
1036584	1.0	0.8653929716933716	2694594	2694594	3113723
1139_CL	1.0	0.8623917115324075	4303558	4303558	4990259
1285_AG	1.0	0.8490589939801139	4510676	4510676	5312559
1035948	1.0	0.8474594168675651	2744738	2744738	3238784
1035999	1.0	0.8444064421566189	1537616	1537616	1820943
1021_AH	1.0	0.8339947591541687	4805517	4805517	5762047
1048768	1.0	0.8314502801130941	2774587	2774587	3337045
1287_BZ	1.0	0.8271160178416962	5671140	5671140	6856523
1220_M	0.9955863612560207	0.8213043625916348	4348113	4328922	5270789
1049017	1.0	0.8199943694696967	5752527	5752527	7015325
1049041	1.0	0.8152137857047823	4062366	4062366	4983191
1220_Z	1.0	0.8121054371065467	4757109	4757109	5857748
1139_AH	1.0	0.7813305736135188	4398545	4398545	5629557
1036665	1.0	0.7754551035983349	2182537	2182537	2814524
1030722	1.0	0.7747811705378858	2463175	2463175	3179188
1036713	1.0	0.7670371208063373	3370964	3370964	4394786
1036581	1.0	0.7667520479515435	3036848	3036848	3960665
1287_CL	1.0	0.748145236077336	4066818	4066818	5435867
1286_AB	1.0	0.7260932498649189	3481811	3481811	4795267
1139_BE	1.0	0.7161744460325672	4573702	4573702	6386296
1286_X	1.0	0.7084932283373189	3174620	3174620	4480805
1286_AC	1.0	0.701575903596918	3855342	3855342	5495260
1286_V	1.0	0.6971536722174486	4227924	4227924	6064551
1286_CJ	1.0	0.6926818977504586	4741312	4741312	6844862
1036776	0.970116045058144	0.6550975053919135	1647205	1597980	2439301
1036599	1.0	0.6433670936179521	2779452	2779452	4320165
1036806	1.0	0.6247958562360811	2247222	2247222	3596730
1286_CC	1.0	0.6060028930697828	2672800	2672800	4410540
1286_BR	1.0	0.5984388707840671	3222409	3222409	5384692
1030839	1.0	0.5906945580790628	3747752	3747752	6344653
1036722	1.0	0.357791786868292	723065	723065	2020910
1036611	NA	0.0	0	0	2647357
1285_Y	NA	0.0	0	0	4966528
1365_F	NA	0.0	0	0	3690740
1049071	NA	0.0	0	0	4970338
1286_AD	NA	0.0	0	0	4323695
1036689	NA	0.0	0	0	6461802
1287_BR	NA	0.0	0	0	5747708
1048774	NA	0.0	0	0	3962251
1285_CH	NA	0.0	0	0	4299563
1036605	NA	0.0	0	0	4729287
1139_AQ	NA	0.0	0	0	4402454
1048927	NA	0.0	0	0	4931448
1030749	NA	0.0	0	0	4362870
1286_BY	NA	0.0	0	0	3938615
1285_CO	NA	0.0	0	0	4761644
1286_L	NA	0.0	0	0	5083162
1220_AL	NA	0.0	0	0	4651645
1285_AT	NA	0.0	0	0	4453687
1030929	NA	0.0	0	0	5863185
1139_J	NA	0.0	0	0	4494273
1021_G	NA	0.0	0	0	6251331
1049059	NA	0.0	0	0	4308727
1030833	NA	0.0	0	0	5496576
1030917	NA	0.0	0	0	2976284
1030797	NA	0.0	0	0	4099185
1048867	NA	0.0	0	0	7094726
1285_BU	NA	0.0	0	0	4737228
1049068	NA	0.0	0	0	3591095
1286_BX	NA	0.0	0	0	4584229
1286_BL	NA	0.0	0	0	3332762
1036710	NA	0.0	0	0	4980004
1285_BA	NA	0.0	0	0	4392776
1139_BL	NA	0.0	0	0	5144408
1030845	NA	0.0	0	0	6627040
1365_E	NA	0.0	0	0	5215678
1285_I	NA	0.0	0	0	3378248
1220_I	NA	0.0	0	0	6731126
1035978	NA	0.0	0	0	2553826
1021_T	NA	0.0	0	0	3465574
1021_W	NA	0.0	0	0	4944331
1048912	NA	0.0	0	0	5615200
1220_G	NA	0.0	0	0	6135680
1021_BD	NA	0.0	0	0	6216233
1285_AW	NA	0.0	0	0	4411887
1220_BC	NA	0.0	0	0	9535748
1220_BT	NA	0.0	0	0	4067179
1220_AB	NA	0.0	0	0	3999571
1285_AH	NA	0.0	0	0	3127048
1286_H	NA	0.0	0	0	5044177
1139_CH	NA	0.0	0	0	3851283
1287_AV	NA	0.0	0	0	3845226
1287_BV	NA	0.0	0	0	4644240
1220_AC	NA	0.0	0	0	8318517
1285_T	NA	0.0	0	0	3734711
1220_CK	NA	0.0	0	0	4016903
1139_F	NA	0.0	0	0	4162808
1021_AG	NA	0.0	0	0	3924586
1048864	NA	0.0	0	0	8109299
1139_BQ	NA	0.0	0	0	6551849
1220_CC	NA	0.0	0	0	6840093
1285_BQ	NA	0.0	0	0	7472383
1220_BA	NA	0.0	0	0	6432480
1049008	NA	0.0	0	0	5179065
1220_BE	NA	0.0	0	0	4819526
1285_BY	NA	0.0	0	0	4367400
1030935	NA	0.0	0	0	6388653
1220_AK	NA	0.0	0	0	4569538
1220_K	NA	0.0	0	0	3874974
1286_CG	NA	0.0	0	0	3819951
1139_U	NA	0.0	0	0	6316279
1048918	NA	0.0	0	0	5641612
1139_AC	NA	0.0	0	0	5348906
1220_CD	NA	0.0	0	0	6225796
1139_P	NA	0.0	0	0	7026080
1220_BW	NA	0.0	0	0	3594566
1049077	NA	0.0	0	0	4203003
1048765	NA	0.0	0	0	3638028
1285_BE	NA	0.0	0	0	4709297
1220_R	NA	0.0	0	0	5807734
1220_CI	NA	0.0	0	0	3544923
1030818	NA	0.0	0	0	4252841
1036794	NA	0.0	0	0	3504004
1286_N	NA	0.0	0	0	3599646
1139_BS	NA	0.0	0	0	3923770
1285_CM	NA	0.0	0	0	5864153
1048930	NA	0.0	0	0	4407838
1030704	NA	0.0	0	0	3098414
1285_AZ	NA	0.0	0	0	4201623
1030761	NA	0.0	0	0	3031737
1286_BQ	NA	0.0	0	0	5447694
1139_BO	NA	0.0	0	0	5016797
1286_AQ	NA	0.0	0	0	2971967
1286_C	NA	0.0	0	0	4312366
